MSN,YYYYMM,Value,Column_Order,Description,Unit,YYYY,MM
FFRCBUS,194913,3405.248,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1949,13
FFRCBUS,195013,3823.808,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1950,13
FFRCBUS,195113,4146.264,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1951,13
FFRCBUS,195213,4259.029,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1952,13
FFRCBUS,195313,4220.568,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1953,13
FFRCBUS,195413,4462.559,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1954,13
FFRCBUS,195513,4832.746,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1955,13
FFRCBUS,195613,5100.677,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1956,13
FFRCBUS,195713,5042.088,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1957,13
FFRCBUS,195813,5436.923,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1958,13
FFRCBUS,195913,5541.385,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1959,13
FFRCBUS,196013,6024.205,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1960,13
FFRCBUS,196113,6188.746,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1961,13
FFRCBUS,196213,6519.627,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1962,13
FFRCBUS,196313,6552.846,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1963,13
FFRCBUS,196413,6612.693,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1964,13
FFRCBUS,196513,6811.272,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1965,13
FFRCBUS,196613,7045.412,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1966,13
FFRCBUS,196713,7277.387,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1967,13
FFRCBUS,196813,7507.234,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1968,13
FFRCBUS,196913,7827.744,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1969,13
FFRCBUS,197013,7921.629,4,Total Fossil Fuels Consumed by the Residential Sector,Trillion Btu,1970,13
